Id,Aum,DiscretionaryInvestmentAumPercent,AverageBasisPointsForAdvisory
207,117765000.0,55.0,100.0
208,117765000.0,55.0,100.0
209,170000000.0,6.0,0.0
210,170000000.0,6.0,0.0
211,200000000.0,10.0,100.0
212,200000000.0,33.0,100.0
213,135000000.0,65.0,0.0
214,99000000.0,65.0,0.0
215,99000000.0,65.0,0.0
216,101000000.0,0.0,0.0
217,191100000.0,99.0,0.0
218,114000000.0,100.0,0.0
219,70000000.0,100.0,0.0
220,40000000.0,100.0,0.0
221,42800000.0,95.0,0.0
222,800000000.0,100.0,0.0
223,100000000.0,90.0,0.0
224,350000000.0,100.0,0.0
225,135000000.0,0.0,0.0
226,1600000000.0,85.0,0.0
227,460000000.0,95.0,0.0
228,0.0,100.0,0.0
229,142000000.0,100.0,0.0
230,150000000.0,100.0,0.0
231,160501381.0,25.0,0.0
232,550000000.0,35.0,0.0
233,550000000.0,35.0,0.0
234,700000000.0,100.0,0.0
235,700000000.0,100.0,0.0
236,400000000.0,75.0,0.0
237,450000000.0,75.0,0.74
238,550000000.0,85.0,0.0
239,330000000.0,90.0,0.0
240,76521350.0,100.0,0.0
241,50000000.0,0.0,0.0
242,70000000.0,0.0,0.0
243,262107738.0,78.0,0.0
244,2100000000.0,70.0,0.0
245,2020000000.0,0.0,0.0
246,2300000000.0,80.0,75.0
247,2400000000.0,70.0,0.0
248,2300000000.0,80.0,75.0
251,205000000.0,100.0,0.0
252,0.0,100.0,0.0
253,225000000.0,100.0,0.0
254,1000000000.0,40.0,0.0
255,1000000000.0,40.0,0.0
256,597258467.0,80.0,0.0
257,1200000000.0,100.0,0.0
258,507701200.0,90.0,0.0
259,31884000.0,0.0,0.0
260,45415000.0,10.0,1.5
261,45415000.0,10.0,1.5
262,43500000.0,0.0,0.0
263,60000000.0,0.0,0.0
264,986937300.0,90.0,0.0
265,111500000.0,90.0,0.0
266,117000000.0,90.0,0.0
267,60000000.0,65.0,0.0
268,280000000.0,60.0,0.0
269,54000000.0,70.0,0.0
270,75000000.0,100.0,0.0
271,89000000.0,65.0,0.0
272,530833653.0,9.0,0.0
273,519483596.0,0.0,27.0
274,557583596.0,0.0,27.0
275,3000000000.0,0.0,0.0
276,970000000.0,0.0,0.0
277,97000000.0,90.0,0.0
278,125000000.0,70.0,0.0
279,98000000.0,0.0,0.0
280,360.0,73.0,0.0
281,315000000.0,60.0,0.0
282,315000000.0,60.0,0.0
284,130000000.0,10.0,0.0
285,440000000.0,48.0,0.0
286,440000000.0,48.0,0.0
287,100000000.0,60.0,0.0
288,250000000.0,64.0,0.0
289,80000000.0,65.0,0.0
290,135180940.0,61.0,0.0
291,100000000.0,60.0,0.0
292,73370000.0,55.0,0.0
293,436000000.0,75.0,0.0
295,40000000.0,0.0,0.0
296,85000000.0,65.0,0.0
297,300000000.0,50.0,0.0
299,140000000.0,0.0,0.0
300,914000000.0,100.0,0.0
301,867573890.0,100.0,85.0
302,180000000.0,55.0,0.0
303,41638000.0,90.0,0.0
304,67696319.0,60.0,0.0
305,70000000.0,0.0,0.0
306,105000000.0,80.0,0.0
307,115000000.0,80.0,100.0
308,115000000.0,80.0,100.0
309,128000000.0,60.0,0.0
310,85000000.0,50.0,0.0
312,175000000.0,50.0,100.0
313,130000000.0,30.0,0.0
314,152000000.0,89.0,0.0
315,152000000.0,89.0,0.0
316,100000000.0,60.0,0.0
317,96213000.0,93.0,0.0
318,80000000.0,55.0,0.0
319,77724000.0,66.0,0.0
320,1320000000.0,100.0,0.0
321,274000000.0,93.0,90.0
322,274000000.0,95.0,95.0
323,274000000.0,93.0,95.0
324,150000000.0,100.0,0.0
325,20000000.0,0.0,0.0
326,33000000.0,0.0,0.0
327,36700300.0,21.0,0.0
328,135000000.0,20.0,0.0
330,180000000.0,100.0,0.0
331,25000000.0,0.0,0.0
332,25000000.0,0.0,0.0
333,358000000.0,70.0,0.75
334,358000000.0,75.0,0.75
335,190000000.0,0.0,0.0
336,70.0,50.0,0.0
337,180000000.0,0.0,0.0
338,55000000.0,0.0,0.0
339,300000000.0,45.0,0.0
340,110000000.0,50.0,0.0
341,56000000.0,65.0,0.0
342,107000000.0,27.0,0.0
343,140000000.0,18.0,85.0
344,140000000.0,20.0,85.0
345,1100000000.0,49.4,0.0
346,1100000000.0,49.4,0.0
347,700000000.0,10.0,0.0
349,700000000.0,10.0,0.0
350,119603962.0,0.0,0.0
351,119603962.0,0.0,0.0
352,27989056.0,0.0,0.0
353,27989056.0,0.0,0.0
354,1100000000.0,95.0,0.0
355,1331264256.0,95.0,0.0
356,200000000.0,50.0,0.0
357,97847376.0,0.0,0.0
358,57091084.0,0.0,0.0
359,212294500.0,71.0,0.0
360,212294500.0,71.0,0.0
361,1000000000.0,85.0,0.0
362,1000000000.0,85.0,0.0
363,1600000000.0,75.0,85.0
364,425000000.0,6.0,0.0
365,500000000.0,6.0,70.0
366,434843108.0,80.0,0.0
367,64000000.0,75.0,0.0
368,95000000.0,20.0,0.0
369,93000000.0,60.0,0.0
374,93000000.0,60.0,0.0
375,94000000.0,60.0,85.0
377,50000000.0,90.0,0.0
379,193445065.0,20.0,0.0
380,213468009.0,40.0,1.5
381,85000000.0,50.0,0.0
382,85000000.0,50.0,0.0
383,454.0,54.0,0.0
384,68258165.0,0.0,0.0
385,72000000.0,0.0,100.0
