id,firmannualreportid,ispassive,isadvisor,age,ownershippercent,yearjoinedfirm
1199,689,False,True,60.0,50.0,2001.0
1200,689,False,True,56.0,50.0,2001.0
1201,690,False,True,60.0,50.0,2001.0
1202,690,False,True,56.0,50.0,2001.0
1203,691,False,True,53.0,64.5,2011.0
1204,691,True,False,32.0,35.5,2011.0
1205,692,False,True,41.0,100.0,2010.0
1206,693,False,True,61.0,100.0,2002.0
1207,694,False,True,71.0,100.0,1992.0
1208,695,False,True,61.0,100.0,1998.0
1209,696,False,True,61.0,100.0,1998.0
1210,697,False,True,52.0,75.0,2017.0
1211,697,False,False,36.0,25.0,2017.0
1212,698,False,True,52.0,75.0,2017.0
1213,698,False,True,36.0,25.0,2017.0
1214,699,False,True,68.0,100.0,2006.0
1215,700,False,True,54.0,100.0,2014.0
1216,701,False,True,54.0,100.0,2014.0
1217,702,False,True,51.0,69.0,2014.0
1218,702,False,False,39.0,15.0,2014.0
1219,702,False,False,40.0,15.0,2015.0
1220,702,False,False,57.0,1.0,2003.0
1221,703,False,True,48.0,54.0,2012.0
1222,703,False,True,44.0,46.0,2012.0
1223,704,False,True,48.0,54.0,2012.0
1224,704,False,True,44.0,46.0,2012.0
1225,705,False,True,55.0,50.0,1991.0
1226,705,False,True,52.0,50.0,1997.0
1227,706,False,True,55.0,50.0,1991.0
1228,706,False,True,52.0,50.0,1997.0
1229,707,False,True,46.0,100.0,2008.0
1230,708,False,True,46.0,100.0,2008.0
1231,709,False,True,47.0,100.0,2000.0
1232,710,False,True,70.0,100.0,2006.0
1233,711,False,True,50.0,50.0,2010.0
1234,711,False,True,52.0,50.0,2010.0
1235,712,False,True,55.0,100.0,2015.0
1236,713,False,True,55.0,100.0,1994.0
1237,714,False,True,52.0,100.0,2017.0
1238,715,False,True,45.0,75.0,2009.0
1239,715,False,True,88.0,25.0,2009.0
1240,716,False,True,45.0,75.0,2009.0
1241,716,False,True,88.0,25.0,2009.0
1242,717,False,True,47.0,100.0,2010.0
1243,718,False,True,66.0,100.0,2001.0
1244,719,False,True,38.0,100.0,2013.0
1245,720,False,True,38.0,100.0,2013.0
1246,721,False,True,71.0,100.0,1980.0
1247,722,False,True,58.0,100.0,2004.0
1248,723,False,True,52.0,100.0,1987.0
1249,724,False,True,60.0,63.0,1987.0
1250,724,False,True,60.0,27.0,1997.0
1251,724,False,True,29.0,10.0,2013.0
1252,725,False,True,60.0,63.0,1987.0
1253,725,False,True,60.0,27.0,1997.0
1254,725,False,True,29.0,10.0,2013.0
1255,726,False,True,58.0,100.0,2014.0
1256,727,True,False,71.0,45.0,1994.0
1257,727,False,True,41.0,45.0,2006.0
1258,727,False,True,44.0,10.0,2017.0
1259,728,False,True,55.0,100.0,2013.0
1260,729,False,True,38.0,100.0,2005.0
1261,730,False,True,57.0,100.0,2014.0
1262,731,False,True,45.0,66.0,2009.0
1263,731,False,False,55.0,33.0,2009.0
1264,732,False,True,59.0,100.0,1993.0
1265,733,False,True,47.0,80.0,2014.0
1266,733,False,True,46.0,20.0,2014.0
1267,734,False,True,51.0,100.0,2003.0
1268,735,False,True,66.0,100.0,2001.0
1269,736,False,True,61.0,100.0,2008.0
1270,737,False,True,42.0,100.0,2006.0
1271,738,False,True,39.0,100.0,2005.0
1272,739,False,True,69.0,50.0,2016.0
1273,739,False,False,42.0,50.0,2016.0
1274,740,False,True,68.0,100.0,2010.0
1275,741,False,True,68.0,100.0,2010.0
1276,742,True,False,62.0,90.0,1989.0
1277,742,False,True,49.0,10.0,1992.0
1278,743,False,True,60.0,50.0,1988.0
1279,743,False,True,69.0,50.0,1988.0
1280,744,False,True,59.0,100.0,1995.0
1281,744,False,False,52.0,0.0,2003.0
1282,745,False,True,69.0,100.0,1970.0
