id,firmannualreportid,age,yearjoinedfirm
245,162,31.0,2007.0
246,162,25.0,2015.0
247,163,31.0,2007.0
248,168,50.0,1997.0
249,168,37.0,2005.0
250,169,70.0,1997.0
251,169,54.0,1997.0
252,169,44.0,1997.0
253,174,24.0,2013.0
254,174,74.0,2009.0
255,175,24.0,2013.0
256,175,74.0,2009.0
257,176,51.0,2000.0
258,176,50.0,2002.0
259,176,34.0,2012.0
260,176,44.0,2014.0
261,176,68.0,1984.0
262,176,47.0,2007.0
263,177,48.0,2014.0
264,180,62.0,2002.0
265,180,59.0,2005.0
266,180,57.0,2007.0
267,180,62.0,2012.0
268,180,31.0,2013.0
269,184,28.0,2010.0
270,190,52.0,1997.0
271,190,30.0,2007.0
272,190,29.0,2011.0
273,190,28.0,2010.0
274,195,40.0,2010.0
275,196,48.0,1995.0
276,196,46.0,1999.0
277,197,48.0,1995.0
278,197,46.0,1999.0
279,199,50.0,2009.0
280,207,34.0,2015.0
281,207,35.0,2014.0
282,217,35.0,2015.0
283,218,45.0,2005.0
284,218,44.0,2002.0
285,218,35.0,2010.0
286,221,40.0,2003.0
287,221,37.0,2014.0
288,222,65.0,2014.0
289,222,35.0,2013.0
290,225,38.0,2016.0
291,225,39.0,2016.0
292,225,40.0,2016.0
293,226,35.0,2013.0
294,226,36.0,2007.0
295,227,35.0,2013.0
296,227,36.0,2007.0
297,228,40.0,2006.0
298,228,37.0,2010.0
299,228,28.0,2014.0
300,228,52.0,2012.0
301,229,40.0,2006.0
302,229,35.0,2007.0
303,229,27.0,2010.0
304,229,50.0,2014.0
305,229,40.0,2006.0
306,230,38.0,2011.0
307,230,29.0,2014.0
308,230,27.0,2015.0
309,231,38.0,2011.0
310,231,29.0,2014.0
311,231,27.0,2015.0
312,233,62.0,2013.0
313,233,33.0,2014.0
314,233,37.0,2005.0
315,235,50.0,1998.0
316,235,35.0,2016.0
317,235,54.0,2014.0
318,238,37.0,2011.0
319,238,36.0,2007.0
320,238,49.0,2004.0
321,239,35.0,2012.0
322,239,49.0,2005.0
323,239,35.0,2007.0
324,241,37.0,2011.0
325,241,36.0,2007.0
326,241,49.0,2004.0
327,245,53.0,2012.0
328,245,55.0,2015.0
329,245,73.0,1998.0
330,246,53.0,2012.0
331,246,55.0,2015.0
332,246,73.0,1998.0
333,247,59.0,2009.0
334,247,41.0,2009.0
335,247,71.0,2014.0
336,247,25.0,2014.0
337,247,24.0,2016.0
338,247,61.0,2014.0
339,247,59.0,2013.0
340,247,63.0,2015.0
341,247,63.0,2015.0
342,247,51.0,2014.0
343,248,58.0,2005.0
344,248,45.0,2004.0
345,248,43.0,2002.0
346,248,38.0,2015.0
347,248,31.0,2007.0
348,249,50.0,2012.0
349,249,56.0,2013.0
350,249,45.0,2014.0
351,249,40.0,2015.0
352,249,33.0,2015.0
353,250,35.0,2016.0
354,251,37.0,2016.0
355,252,35.0,2016.0
356,255,46.0,2015.0
357,255,48.0,1999.0
358,255,36.0,2002.0
359,255,50.0,2000.0
360,259,36.0,2015.0
361,259,41.0,2014.0
362,262,26.0,2016.0
363,263,44.0,2008.0
364,263,44.0,2008.0
365,263,44.0,2013.0
366,264,31.0,2008.0
367,264,33.0,2008.0
368,264,42.0,2013.0
369,265,31.0,2008.0
370,265,33.0,2008.0
371,265,42.0,2013.0
372,265,40.0,2015.0
373,269,35.0,2007.0
374,272,32.0,2016.0
375,273,32.0,2016.0
376,276,70.0,2008.0
377,276,79.0,2008.0
378,276,60.0,2008.0
379,277,70.0,2008.0
380,277,79.0,2008.0
381,277,60.0,2008.0
382,282,30.0,2011.0
383,282,37.0,2011.0
384,284,71.0,2008.0
385,284,79.0,2008.0
386,289,48.0,2013.0
387,289,49.0,2012.0
388,289,31.0,2013.0
389,291,59.0,2005.0
390,291,35.0,2014.0
391,292,59.0,2005.0
392,292,35.0,2014.0
393,293,46.0,2012.0
394,297,50.0,2015.0
395,297,67.0,1983.0
396,298,67.0,1983.0
397,298,42.0,2016.0
398,299,67.0,1983.0
399,299,42.0,2016.0
400,303,45.0,2005.0
401,303,45.0,2011.0
402,303,40.0,2014.0
403,305,34.0,2010.0
404,306,34.0,2010.0
405,307,46.0,2014.0
406,310,56.0,2008.0
407,310,32.0,2012.0
408,311,45.0,2004.0
409,311,46.0,2003.0
410,311,40.0,2015.0
411,311,58.0,2005.0
412,311,31.0,2007.0
413,312,47.0,2012.0
414,312,40.0,2012.0
415,312,28.0,2012.0
416,313,47.0,2017.0
417,314,47.0,2012.0
418,314,40.0,2012.0
419,314,28.0,2012.0
420,315,48.0,2012.0
421,320,44.0,2060.0
422,329,40.0,2002.0
423,329,50.0,2004.0
424,332,27.0,2009.0
425,335,33.0,2016.0
426,335,28.0,2014.0
427,335,38.0,2011.0
428,335,61.0,2015.0
429,336,33.0,2016.0
430,336,28.0,2014.0
431,336,38.0,2011.0
432,336,61.0,2015.0
433,344,50.0,1997.0
434,344,59.0,2001.0
435,344,30.0,2007.0
436,344,39.0,2010.0
437,345,50.0,1997.0
438,345,59.0,2001.0
439,345,30.0,2007.0
440,345,39.0,2010.0
441,347,46.0,1990.0
442,349,44.0,2003.0
443,349,38.0,2016.0
444,350,44.0,2003.0
445,350,38.0,2016.0
446,351,39.0,1999.0
447,351,35.0,2004.0
448,351,28.0,2010.0
449,352,39.0,1999.0
450,352,35.0,2004.0
451,352,28.0,2010.0
452,353,44.0,2060.0
453,354,45.0,2012.0
454,355,46.0,1998.0
455,369,45.0,2011.0
456,370,45.0,2060.0
457,372,41.0,2012.0
458,372,52.0,2012.0
459,372,36.0,2015.0
460,373,41.0,2012.0
461,373,52.0,2012.0
462,373,36.0,2015.0
463,374,41.0,2012.0
464,374,52.0,2012.0
465,374,36.0,2015.0
466,376,36.0,2004.0
467,376,44.0,2016.0
468,376,33.0,2011.0
469,378,42.0,1996.0
470,378,44.0,2060.0
471,379,42.0,1996.0
472,381,32.0,2008.0
473,391,64.0,2012.0
474,391,62.0,2010.0
475,396,46.0,2010.0
476,397,59.0,2016.0
477,398,59.0,2016.0
478,405,44.0,2016.0
479,406,30.0,2014.0
480,407,39.0,2015.0
481,410,42.0,2014.0
482,410,31.0,2015.0
483,410,50.0,2015.0
484,410,50.0,2015.0
485,410,36.0,2015.0
486,410,26.0,2015.0
487,410,63.0,2015.0
488,410,40.0,2015.0
489,416,44.0,2060.0
490,416,44.0,2060.0
491,417,28.0,2011.0
492,418,28.0,2011.0
493,420,46.0,2014.0
494,422,50.0,2012.0
495,422,55.0,2012.0
496,423,71.0,1990.0
497,423,33.0,2010.0
498,423,31.0,2015.0
499,428,66.0,2009.0
500,428,40.0,2016.0
501,428,44.0,2060.0
502,434,45.0,2013.0
503,434,43.0,2013.0
504,434,38.0,2015.0
505,434,40.0,2014.0
506,434,43.0,2016.0
507,434,41.0,2014.0
508,434,55.0,2013.0
509,434,48.0,2014.0
510,434,51.0,2012.0
511,434,60.0,2010.0
512,434,48.0,2015.0
513,434,65.0,2010.0
514,434,65.0,2010.0
515,434,52.0,2013.0
516,434,35.0,2016.0
517,434,39.0,2014.0
518,434,54.0,2012.0
