Id,OtherPercent,EquityPercent,FixedIncomePercent,MutualFundsPercent,MunicipalsPercent,CommoditiesPercent,ManagedMoneyPercent,InsurancePercent,AnnuityPercent,FinancialPlanningAndConsultingPercent,OtherServicesPercent
737,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
738,0.0,0.14,0.0,98.9,0.0,0.0,0.0,0.82,0.14,0.0,0.0
739,0.0,0.14,0.0,98.9,0.0,0.0,0.0,0.82,0.14,0.0,0.0
740,0.0,12.0,0.0,0.0,0.0,0.0,63.33,1.79,22.0,0.0,0.0
742,0.0,14.5,1.85,26.53,3.26,0.0,35.0,0.0,18.86,0.0,0.0
743,0.0,0.28,0.39,6.85,0.0,0.0,45.49,1.34,45.55,0.0,0.0
744,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,1.0,0.0,0.0
745,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,1.0,0.0,0.0
746,0.0,5.0,0.0,0.0,0.0,0.0,90.0,0.0,5.0,0.0,0.0
747,0.0,5.0,0.0,0.0,0.0,0.0,90.0,0.0,5.0,0.0,0.0
748,0.0,4.0,5.0,8.0,1.0,0.0,80.0,2.0,0.0,0.0,0.0
749,0.0,4.0,5.0,8.0,1.0,0.0,80.0,2.0,0.0,0.0,0.0
752,0.0,18.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0
753,0.0,0.0,0.0,16.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0
754,0.0,0.0,0.0,16.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0
755,0.0,2.0,0.0,2.0,0.0,0.0,95.0,0.0,1.0,0.0,0.0
756,0.0,0.0,0.0,0.0,0.0,0.0,90.0,5.0,5.0,0.0,0.0
757,0.0,0.0,0.0,0.0,0.0,0.0,60.0,20.0,20.0,0.0,0.0
758,0.0,11.0,6.0,17.0,2.0,0.0,50.0,0.0,12.0,0.0,2.0
759,0.0,11.0,6.0,17.0,2.0,0.0,50.0,0.0,12.0,0.0,2.0
760,0.0,1.36,0.12,2.44,5.6,0.0,88.47,0.0,1.48,0.0,0.0
761,0.0,1.0,0.0,0.5,0.0,0.0,71.5,3.0,15.0,1.0,8.0
762,0.0,6.87,0.1,4.35,0.0,0.0,73.07,0.07,8.95,6.42,0.17
763,0.0,0.0,0.0,9.0,0.0,0.0,63.0,15.0,13.0,0.0,0.0
764,0.0,5.0,1.33,6.0,0.27,0.0,83.0,0.0,3.5,0.0,0.0
765,0.0,0.0,0.0,1.0,0.0,4.0,95.0,0.0,0.0,0.0,0.0
766,0.0,2.0,2.0,2.0,2.0,0.0,37.0,2.0,53.0,0.0,0.0
767,0.0,0.0,5.0,2.0,0.0,0.0,75.0,10.0,3.0,5.0,0.0
768,0.0,5.0,0.0,15.0,0.0,0.0,70.0,10.0,0.0,0.0,0.0
769,0.0,18.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0
770,0.0,3.0,0.0,85.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0
771,0.0,2.0,3.0,10.0,0.0,0.0,59.0,0.0,8.0,0.0,0.0
773,0.0,0.0,0.0,2.0,0.0,0.0,90.0,0.0,8.0,0.0,0.0
775,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
776,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
777,0.0,0.0,0.0,1.0,0.0,10.0,82.0,1.0,2.0,4.0,0.0
778,0.0,0.0,0.0,0.0,0.0,0.0,90.0,3.0,0.0,1.0,6.0
779,0.0,0.0,4.0,12.0,0.0,0.0,80.0,1.0,3.0,0.0,0.0
780,0.0,2.0,0.0,80.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0
781,0.0,0.0,0.0,15.0,0.0,0.0,0.0,35.0,50.0,0.0,0.0
